keys,zh_CN,ja,ko,en
"SVG 保持矢量清晰度；PNG 兼容更多版本的演示软件","SVG 保持矢量清晰度；PNG 兼容更多版本的演示软件","SVG はベクター品質を維持し、PNG はより多くのプレゼンテーションソフトと互換性があります","SVG는 벡터 선명도를 유지하며 PNG는 더 많은 프레젠테이션 프로그램과 호환됩니다","SVG preserves vector quality; PNG is compatible with more presentation software"
"导出棋盘坐标（左侧和上侧）","导出棋盘坐标（左侧和上侧）","碁盤座標を出力（左・上）","바둑판 좌표 내보내기(왼쪽·위)","Export board coordinates (left and top)"
"在导出棋盘的左侧绘制行号、上侧绘制列字母","在导出棋盘的左侧绘制行号、上侧绘制列字母","出力する碁盤の左に行番号、上に列記号を描画します","내보낸 바둑판의 왼쪽에 행 번호, 위쪽에 열 문자를 표시합니다","Draw row numbers on the left and column letters above the exported board"
"KataGo 本地分析","KataGo 本地分析","KataGo ローカル解析","KataGo 로컬 분석","Local KataGo analysis"
"KataGo 可执行文件","KataGo 可执行文件","KataGo 実行ファイル","KataGo 실행 파일","KataGo executable"
"神经网络模型","神经网络模型","ニューラルネットワークモデル","신경망 모델","Neural network model"
"KataGo 分析配置文件","KataGo 分析配置文件","KataGo 解析設定ファイル","KataGo 분석 설정 파일","KataGo analysis configuration"
"请选择 katago.exe","请选择 katago.exe","katago の実行ファイルを選択してください","katago 실행 파일을 선택하세요","Select the KataGo executable"
"请选择 .bin.gz 模型","请选择 .bin.gz 模型",".bin.gz モデルを選択してください",".bin.gz 모델을 선택하세요","Select a .bin.gz model"
"请选择 Analysis Engine .cfg 配置","请选择 Analysis Engine .cfg 配置","Analysis Engine の .cfg 設定を選択してください","Analysis Engine .cfg 설정을 선택하세요","Select an Analysis Engine .cfg file"
"浏览","浏览","参照","찾아보기","Browse"
"分析计算量","分析计算量","解析量","분석 연산량","Analysis effort"
"分析刷新间隔","分析刷新间隔","解析更新間隔","분석 갱신 간격","Analysis refresh interval"
"候选变化图手数","候选变化图手数","候補変化図の手数","후보 변화도 수순","Candidate variation length"
"额外盘面候选数","额外盘面候选数","盤面の追加候補数","추가 바둑판 후보 수","Additional board candidates"
"显示目差","显示目差","目数差を表示","집 차이 표시","Show score lead"
"整局快速分析计算量","整局快速分析计算量","全局高速解析量","전체 대국 빠른 분석량","Fast full-game analysis effort"
"每个局面的 visits；1 最快，仅用于观察胜率和目差趋势","每个局面的 visits；1 最快，仅用于观察胜率和目差趋势","各局面の visits。1 が最速で、勝率と目数差の傾向確認専用です","각 국면의 visits입니다. 1이 가장 빠르며 승률과 집 차이 추세 확인용입니다","Visits per position; 1 is fastest and intended only for win-rate and score-lead trends"
"测试路径","测试路径","パスをテスト","경로 테스트","Test paths"
"自动性能检测","自动性能检测","自動性能テスト","자동 성능 테스트","Automatic performance test"
"测试适合当前设备的搜索线程和批量大小，可由用户主动停止","测试适合当前设备的搜索线程和批量大小，可由用户主动停止","現在のデバイスに適した探索スレッド数とバッチサイズをテストします。手動で停止できます","현재 장치에 적합한 검색 스레드와 배치 크기를 테스트하며 사용자가 중지할 수 있습니다","Test search threads and batch size for this device; the test can be stopped manually"
"尚未配置","尚未配置","未設定","설정되지 않음","Not configured"
"保存设置失败","保存设置失败","設定の保存に失敗","설정 저장 실패","Failed to save settings"
"确认并保存设置","确认并保存设置","設定を確定して保存","설정 확인 및 저장","Confirm and save settings"
"还原本次修改","还原本次修改","今回の変更を元に戻す","이번 변경 되돌리기","Restore changes"
"取消并关闭设置","取消并关闭设置","キャンセルして設定を閉じる","취소하고 설정 닫기","Cancel and close settings"
"选择 KataGo 可执行文件","选择 KataGo 可执行文件","KataGo 実行ファイルを選択","KataGo 실행 파일 선택","Select KataGo executable"
"选择 KataGo 神经网络模型","选择 KataGo 神经网络模型","KataGo ニューラルネットワークモデルを選択","KataGo 신경망 모델 선택","Select KataGo neural network model"
"选择 KataGo Analysis Engine 配置文件","选择 KataGo Analysis Engine 配置文件","KataGo Analysis Engine 設定ファイルを選択","KataGo Analysis Engine 설정 파일 선택","Select KataGo Analysis Engine configuration"
"KataGo 自动性能检测","KataGo 自动性能检测","KataGo 自動性能テスト","KataGo 자동 성능 테스트","KataGo automatic performance test"
"开始检测","开始检测","テスト開始","테스트 시작","Start test"
"还需保存设置","还需保存设置","設定の保存が必要です","설정을 저장해야 합니다","Settings still need to be saved"
"性能检测结果尚未生效。\n请回到设置面板，点击左上角绿色 ✓ 保存设置。","性能检测结果尚未生效。\n请回到设置面板，点击左上角绿色 ✓ 保存设置。","性能テスト結果はまだ反映されていません。\n設定パネルに戻り、左上の緑色の ✓ をクリックして保存してください。","성능 테스트 결과가 아직 적용되지 않았습니다.\n설정 패널로 돌아가 왼쪽 위의 초록색 ✓를 눌러 저장하세요.","The performance test result is not active yet.\nReturn to Settings and click the green ✓ in the upper-left to save it."
"知道了","知道了","了解","확인","Got it"
"停止","停止","停止","중지","Stop"
"确认","确认","確認","확인","Confirm"
"关闭","关闭","閉じる","닫기","Close"
"取消","取消","キャンセル","취소","Cancel"
"确定","确定","OK","확인","OK"
"保存","保存","保存","저장","Save"
"删除","删除","削除","삭제","Delete"
"新建","新建","新規","새로 만들기","New"
"另存","另存","別名保存","다른 이름으로 저장","Save as"
"导出","导出","エクスポート","내보내기","Export"
"工具","工具","ツール","도구","Tools"
"新建棋局标签（Ctrl+N）","新建棋局标签（Ctrl+N）","新しい棋譜タブ（Ctrl+N）","새 기보 탭(Ctrl+N)","New game tab (Ctrl+N)"
"保存棋谱（Ctrl+S）","保存棋谱（Ctrl+S）","棋譜を保存（Ctrl+S）","기보 저장(Ctrl+S)","Save game record (Ctrl+S)"
"另存棋谱（Ctrl+A）","另存棋谱（Ctrl+A）","棋譜を別名保存（Ctrl+A）","기보를 다른 이름으로 저장(Ctrl+A)","Save game record as (Ctrl+A)"
"导出排版为 PPTX","导出排版为 PPTX","レイアウトを PPTX に出力","편집물을 PPTX로 내보내기","Export layout as PPTX"
"打开非主要功能菜单","打开非主要功能菜单","補助機能メニューを開く","보조 기능 메뉴 열기","Open secondary tools menu"
"保留主干","保留主干","本線のみ残す","본선만 유지","Keep main line"
"清除笔记","清除笔记","ノートを消去","노트 지우기","Clear notes"
"确认保留主干","确认保留主干","本線のみ残す","본선 유지 확인","Confirm keeping main line"
"确认清除笔记","确认清除笔记","ノート消去の確認","노트 지우기 확인","Confirm clearing notes"
"工具操作失败","工具操作失败","ツール操作に失敗","도구 작업 실패","Tool operation failed"
"保存 SGF 棋谱","保存 SGF 棋谱","SGF 棋譜を保存","SGF 기보 저장","Save SGF game record"
"保存失败","保存失败","保存に失敗","저장 실패","Save failed"
"无法保存 SGF 棋谱。","无法保存 SGF 棋谱。","SGF 棋譜を保存できません。","SGF 기보를 저장할 수 없습니다.","Could not save the SGF game record."
"确认保存","确认保存","保存の確認","저장 확인","Confirm save"
"是否保存当前棋谱？","是否保存当前棋谱？","現在の棋譜を保存しますか？","현재 기보를 저장하시겠습니까?","Save the current game record?"
"导出 PPTX 排版","导出 PPTX 排版","PPTX レイアウトを出力","PPTX 편집물 내보내기","Export PPTX layout"
"导出失败","导出失败","エクスポートに失敗","내보내기 실패","Export failed"
"无法导出 PPTX 排版。","无法导出 PPTX 排版。","PPTX レイアウトを出力できません。","PPTX 편집물을 내보낼 수 없습니다.","Could not export the PPTX layout."
"导出成功","导出成功","エクスポート完了","내보내기 성공","Export successful"
"PPTX 排版已成功导出。","PPTX 排版已成功导出。","PPTX レイアウトを出力しました。","PPTX 편집물을 성공적으로 내보냈습니다.","The PPTX layout was exported successfully."
"正在导出 PPTX","正在导出 PPTX","PPTX を出力中","PPTX 내보내는 중","Exporting PPTX"
"正在准备导出…","正在准备导出…","出力の準備中…","내보내기 준비 중…","Preparing export…"
"正在导出第 %d / %d 页…","正在导出第 %d / %d 页…","%d / %d ページを出力中…","%d / %d페이지 내보내는 중…","Exporting page %d / %d…"
"正在写入目标文件…","正在写入目标文件…","出力先に書き込み中…","대상 파일에 쓰는 중…","Writing the output file…"
"无法创建 PPTX 临时文件。","无法创建 PPTX 临时文件。","PPTX 一時ファイルを作成できません。","PPTX 임시 파일을 만들 수 없습니다.","Could not create the temporary PPTX file."
"无法创建 PPTX 导出快照。","无法创建 PPTX 导出快照。","PPTX 出力用スナップショットを作成できません。","PPTX 내보내기 스냅샷을 만들 수 없습니다.","Could not create the PPTX export snapshot."
"无法读取已生成的 PPTX 临时文件。","无法读取已生成的 PPTX 临时文件。","生成した PPTX 一時ファイルを読み込めません。","생성된 PPTX 임시 파일을 읽을 수 없습니다.","Could not read the generated temporary PPTX file."
"无法写入所选的 PPTX 文件。","无法写入所选的 PPTX 文件。","選択した PPTX ファイルに書き込めません。","선택한 PPTX 파일에 쓸 수 없습니다.","Could not write the selected PPTX file."
"目前安卓端由于技术原因，不支持将棋盘导出为PNG图片，请切换至SVG模式再导出。SVG图片版的PPTX可使用Microsoft官方版Powerpoint App浏览编辑，请注意WPS可能无法显示SVG图片。","目前安卓端由于技术原因，不支持将棋盘导出为PNG图片，请切换至SVG模式再导出。SVG图片版的PPTX可使用Microsoft官方版Powerpoint App浏览编辑，请注意WPS可能无法显示SVG图片。","現在、Android版では技術上の理由により、碁盤をPNG画像として出力できません。SVGモードに切り替えてから再度出力してください。SVG画像を使用したPPTXは、Microsoft公式のPowerPointアプリで閲覧・編集できます。WPSではSVG画像が表示されない場合があります。","현재 Android 버전은 기술적인 이유로 바둑판을 PNG 이미지로 내보낼 수 없습니다. SVG 모드로 전환한 후 다시 내보내 주세요. SVG 이미지가 포함된 PPTX는 Microsoft 공식 PowerPoint 앱에서 열고 편집할 수 있습니다. WPS에서는 SVG 이미지가 표시되지 않을 수 있습니다.","PNG board-image export is currently unavailable on Android for technical reasons. Switch to SVG mode and export again. PPTX files containing SVG images can be viewed and edited with the official Microsoft PowerPoint app. WPS may not display SVG images."
"关闭标签","关闭标签","タブを閉じる","탭 닫기","Close tab"
"是否关闭这个标签？","是否关闭这个标签？","このタブを閉じますか？","이 탭을 닫으시겠습니까?","Close this tab?"
"保留当前变化并退出","保留当前变化并退出","現在の変化を保存して終了","현재 변화를 유지하고 종료","Keep current variation and exit"
"丢弃当前变化并退出（Esc）","丢弃当前变化并退出（Esc）","現在の変化を破棄して終了（Esc）","현재 변화를 버리고 종료(Esc)","Discard current variation and exit (Esc)"
"接受标记修改","接受标记修改","マーク変更を確定","마크 변경 적용","Accept mark changes"
"放弃标记修改（Esc）","放弃标记修改（Esc）","マーク変更を破棄（Esc）","마크 변경 취소(Esc)","Discard mark changes (Esc)"
"擦除标记","擦除标记","マークを消去","마크 지우기","Erase marks"
"选择下一步的预置棋子分支","选择下一步的预置棋子分支","次の初期配置分岐を選択","다음 배치 분기 선택","Select the next setup-stone branch"
"向棋局开始方向找子（Ctrl+G）","向棋局开始方向找子（Ctrl+G）","棋譜の先頭方向に石を検索（Ctrl+G）","기보 시작 방향으로 돌 찾기(Ctrl+G)","Find stone toward game start (Ctrl+G)"
"向棋局结束方向找子（Ctrl+F）","向棋局结束方向找子（Ctrl+F）","棋譜の終端方向に石を検索（Ctrl+F）","기보 끝 방향으로 돌 찾기(Ctrl+F)","Find stone toward game end (Ctrl+F)"
"调整或删除下一手分支（Ctrl+X）","调整或删除下一手分支（Ctrl+X）","次の分岐を並べ替え・削除（Ctrl+X）","다음 분기 순서 조정·삭제(Ctrl+X)","Reorder or delete next branches (Ctrl+X)"
"进入变化图（Ctrl+T，Esc 退出）","进入变化图（Ctrl+T，Esc 退出）","変化図に入る（Ctrl+T、Esc で終了）","변화도 시작(Ctrl+T, Esc로 종료)","Enter variation mode (Ctrl+T, Esc to exit)"
"锁定棋盘：禁止落子和悔棋，可继续浏览棋局（Ctrl+E）","锁定棋盘：禁止落子和悔棋，可继续浏览棋局（Ctrl+E）","碁盤をロック：着手と一手戻しを禁止し、棋譜閲覧は可能（Ctrl+E）","바둑판 잠금: 착수와 무르기는 금지하고 기보 탐색은 허용(Ctrl+E)","Lock board: prevent moves and takebacks while allowing navigation (Ctrl+E)"
"当前黑方落子；点击或按 Ctrl+Q 切换为白方","当前黑方落子；点击或按 Ctrl+Q 切换为白方","現在は黒番。クリックまたは Ctrl+Q で白番に切り替え","현재 흑 차례. 클릭하거나 Ctrl+Q로 백으로 전환","Black to play; click or press Ctrl+Q to switch to White"
"棋局分支可视化（Ctrl+W）","棋局分支可视化（Ctrl+W）","棋譜分岐を可視化（Ctrl+W）","기보 분기 시각화(Ctrl+W)","Visualize game branches (Ctrl+W)"
"笔记（Ctrl+M）","笔记（Ctrl+M）","ノート（Ctrl+M）","노트(Ctrl+M)","Notes (Ctrl+M)"
"棋谱信息","棋谱信息","棋譜情報","기보 정보","Game information"
"KataGo分析","KataGo分析","KataGo 解析","KataGo 분석","KataGo analysis"
"接受预置棋子","接受预置棋子","初期配置を確定","배치 적용","Accept setup stones"
"取消预置棋子","取消预置棋子","初期配置をキャンセル","배치 취소","Cancel setup stones"
"清除交叉点上的预置棋子","清除交叉点上的预置棋子","交点の初期配置石を消去","교차점의 배치 돌 지우기","Clear the setup stone at an intersection"
"使用黑子预置","使用黑子预置","黒石で初期配置","흑돌로 배치","Set up Black stones"
"使用白子预置","使用白子预置","白石で初期配置","백돌로 배치","Set up White stones"
"悔棋","悔棋","一手戻す","무르기","Take back"
"创建棋盘","创建棋盘","碁盤を作成","바둑판 만들기","Create board"
"请选择棋盘路数","请选择棋盘路数","碁盤の路数を選択してください","바둑판 크기를 선택하세요","Select board size"
"9 路","9 路","9 路","9로","9×9"
"11 路","11 路","11 路","11로","11×11"
"13 路","13 路","13 路","13로","13×13"
"15 路","15 路","15 路","15로","15×15"
"19 路","19 路","19 路","19로","19×19"
"创建","创建","作成","만들기","Create"
"从本地 SGF 棋谱创建","从本地 SGF 棋谱创建","ローカル SGF 棋譜から作成","로컬 SGF 기보에서 만들기","Create from a local SGF game record"
"加载 SGF 棋谱","加载 SGF 棋谱","SGF 棋譜を読み込む","SGF 기보 불러오기","Load SGF game record"
"加载","加载","読み込む","불러오기","Load"
"粘贴","粘贴","貼り付け","붙여넣기","Paste"
"剪贴板中没有 SGF 文本。","剪贴板中没有 SGF 文本。","クリップボードに SGF テキストがありません。","클립보드에 SGF 텍스트가 없습니다.","The clipboard does not contain SGF text."
"加载失败","加载失败","読み込みに失敗","불러오기 실패","Load failed"
"无法加载 SGF 棋谱。","无法加载 SGF 棋谱。","SGF 棋譜を読み込めません。","SGF 기보를 불러올 수 없습니다.","Could not load the SGF game record."
"预置棋子（Ctrl+H）","预置棋子（Ctrl+H）","初期配置（Ctrl+H）","돌 배치(Ctrl+H)","Setup stones (Ctrl+H)"
"预置","预置","初期配置","배치","Setup"
"拖动以浏览棋局","拖动以浏览棋局","ドラッグして棋譜を移動","드래그하여 기보 탐색","Drag to navigate the game"
"向棋局开始方向漫游一手","向棋局开始方向漫游一手","棋譜の先頭方向へ一手戻る","기보 시작 방향으로 한 수 이동","Go back one move"
"向棋局结束方向漫游一手","向棋局结束方向漫游一手","棋譜の終端方向へ一手進む","기보 끝 방향으로 한 수 이동","Go forward one move"
"播放棋局","播放棋局","棋譜を再生","기보 재생","Play game"
"确认悔棋","确认悔棋","一手戻す確認","무르기 확인","Confirm takeback"
"确定要撤销上一手棋吗？","确定要撤销上一手棋吗？","直前の一手を戻しますか？","마지막 수를 무르시겠습니까?","Take back the previous move?"
"确定要撤销当前变化及其全部后续变化吗？","确定要撤销当前变化及其全部后续变化吗？","現在の変化とそれ以降の変化をすべて取り消しますか？","현재 변화와 그 이후의 모든 변화를 무르시겠습니까?","Take back the current variation and all subsequent variations?"
"确认剪切分支","确认剪切分支","分岐削除の確認","분기 잘라내기 확인","Confirm branch cut"
"确定要剪掉所选节点及其全部后续节点吗？\n此操作可以通过 Undo 恢复。","确定要剪掉所选节点及其全部后续节点吗？\n此操作可以通过 Undo 恢复。","選択したノードとその後続ノードをすべて削除しますか？\nこの操作は Undo で復元できます。","선택한 노드와 모든 후속 노드를 잘라내시겠습니까?\n이 작업은 실행 취소로 복원할 수 있습니다.","Cut the selected node and all of its descendants?\nThis operation can be restored with Undo."
"剪切","剪切","削除","잘라내기","Cut"
"找子","找子","石を検索","돌 찾기","Find stone"
"没有在指定方向找到这颗棋子。","没有在指定方向找到这颗棋子。","指定した方向にこの石は見つかりませんでした。","지정한 방향에서 이 돌을 찾지 못했습니다.","The stone was not found in the specified direction."
"无法修改预置局面","无法修改预置局面","初期配置を変更できません","배치 국면을 수정할 수 없음","Cannot edit setup position"
"调整、删除、双击进入","调整、删除、双击进入","並べ替え・削除・ダブルクリックで移動","순서 조정·삭제·두 번 클릭하여 이동","Reorder, delete, or double-click to enter"
"进入","进入","入る","들어가기","Enter"
"进入这个分支","进入这个分支","この分岐に入る","이 분기로 들어가기","Enter this branch"
"接受调整","接受调整","並べ替えを確定","순서 조정 적용","Accept changes"
"放弃调整（Esc）","放弃调整（Esc）","並べ替えを破棄（Esc）","순서 조정 취소(Esc)","Discard changes (Esc)"
"确认删除分支","确认删除分支","分岐削除の確認","분기 삭제 확인","Confirm branch deletion"
"退出","退出","終了","나가기","Exit"
"正在分析棋谱分支……","正在分析棋谱分支……","棋譜の分岐を解析中…","기보 분기 분석 중…","Analyzing game branches…"
"确定要删除所选局面及其全部后续分支吗？\n此操作可以通过 Undo 恢复。","确定要删除所选局面及其全部后续分支吗？\n此操作可以通过 Undo 恢复。","選択した局面とその後続分岐をすべて削除しますか？\nこの操作は Undo で復元できます。","선택한 국면과 모든 후속 분기를 삭제하시겠습니까?\n이 작업은 실행 취소로 복원할 수 있습니다.","Delete the selected position and all descendant branches?\nThis operation can be restored with Undo."
"选择预置棋子分支","选择预置棋子分支","初期配置分岐を選択","배치 분기 선택","Select setup-stone branch"
"笔记内容尚未保存","笔记内容尚未保存","ノートはまだ保存されていません","노트 내용이 저장되지 않음","Note changes are not saved"
"标题或评论已经发生改变，请选择如何处理本次编辑。","标题或评论已经发生改变，请选择如何处理本次编辑。","タイトルまたはコメントが変更されています。編集内容の処理方法を選択してください。","제목 또는 설명이 변경되었습니다. 편집 내용을 처리할 방법을 선택하세요.","The title or comment has changed. Choose how to handle the edits."
"保存并继续","保存并继续","保存して続行","저장하고 계속","Save and continue"
"输入节点标题","输入节点标题","ノードのタイトルを入力","노드 제목 입력","Enter node title"
"接受标题和评论修改","接受标题和评论修改","タイトルとコメントの変更を確定","제목과 설명 변경 적용","Accept title and comment changes"
"取消标题和评论修改","取消标题和评论修改","タイトルとコメントの変更をキャンセル","제목과 설명 변경 취소","Cancel title and comment changes"
"按 A-Z、a-z 顺序标记","按 A-Z、a-z 顺序标记","A-Z、a-z の順にマーク","A-Z, a-z 순서로 표시","Mark sequentially with A-Z and a-z"
"三角标记（TR）","三角标记（TR）","三角マーク（TR）","삼각형 마크(TR)","Triangle mark (TR)"
"方框标记（SQ）","方框标记（SQ）","四角マーク（SQ）","사각형 마크(SQ)","Square mark (SQ)"
"圆圈标记（CR）","圆圈标记（CR）","丸マーク（CR）","원형 마크(CR)","Circle mark (CR)"
"叉号标记（MA）","叉号标记（MA）","× マーク（MA）","엑스 마크(MA)","Cross mark (MA)"
"擦除符号标记","擦除符号标记","記号マークを消去","기호 마크 지우기","Erase symbol marks"
"棋子编号","棋子编号","碁石番号","바둑돌 번호","Stone numbering"
"棋谱信息已修改","棋谱信息已修改","棋譜情報が変更されています","기보 정보가 변경됨","Game information changed"
"棋谱信息已经发生改变，是否保留编辑内容？","棋谱信息已经发生改变，是否保留编辑内容？","棋譜情報が変更されています。編集内容を保存しますか？","기보 정보가 변경되었습니다. 편집 내용을 유지하시겠습니까?","Game information has changed. Keep the edits?"
"保留","保留","保存","유지","Keep"
"放弃","放弃","破棄","버리기","Discard"
"更新失败","更新失败","更新に失敗","업데이트 실패","Update failed"
"接受全部棋谱信息修改","接受全部棋谱信息修改","棋譜情報の変更をすべて確定","모든 기보 정보 변경 적용","Accept all game-information changes"
"取消全部棋谱信息修改","取消全部棋谱信息修改","棋譜情報の変更をすべてキャンセル","모든 기보 정보 변경 취소","Cancel all game-information changes"
"棋局名称","棋局名称","対局名","대국 이름","Game name"
"赛事名称","赛事名称","大会名","대회 이름","Event"
"轮次","轮次","ラウンド","라운드","Round"
"日期","日期","日付","날짜","Date"
"例如 2026-07-31","例如 2026-07-31","例：2026-07-31","예: 2026-07-31","For example, 2026-07-31"
"地点","地点","場所","장소","Place"
"黑方姓名","黑方姓名","黒番名","흑 이름","Black player"
"黑方段位","黑方段位","黒番段位","흑 단급","Black rank"
"白方姓名","白方姓名","白番名","백 이름","White player"
"白方段位","白方段位","白番段位","백 단급","White rank"
"结果","结果","結果","결과","Result"
"例如 B+R / W+2.5 / 0","例如 B+R / W+2.5 / 0","例: B+R / W+2.5 / 0","예: B+R / W+2.5 / 0","For example: B+R / W+2.5 / 0"
"规则","规则","ルール","규칙","Rules"
"贴目","贴目","コミ","덤","Komi"
"例如 6.5","例如 6.5","例：6.5","예: 6.5","For example, 6.5"
"让子数","让子数","置き石数","접바둑 돌 수","Handicap"
"非负整数","非负整数","0 以上の整数","0 이상의 정수","Non-negative integer"
"基本用时（秒）","基本用时（秒）","持ち時間（秒）","기본 제한 시간(초)","Main time (seconds)"
"非负数","非负数","0 以上の数値","0 이상의 수","Non-negative number"
"读秒信息","读秒信息","秒読み情報","초읽기 정보","Overtime information"
"布局名称","布局名称","布石名","포석 이름","Opening name"
"解说者 / 记录者","解说者 / 记录者","解説者／記録者","해설자 / 기록자","Annotator / recorder"
"棋谱来源","棋谱来源","棋譜の出典","기보 출처","Source"
"版权信息","版权信息","著作権情報","저작권 정보","Copyright"
"棋局总评","棋局总评","対局総評","대국 총평","Game commentary"
"加大计算量","加大计算量","解析量を増やす","연산량 늘리기","Increase analysis effort"
"使用右侧指定的 maxplayouts 加大当前局面的计算量","使用右侧指定的 maxplayouts 加大当前局面的计算量","右側で指定した maxplayouts で現在局面の解析量を増やします","오른쪽에 지정한 maxplayouts로 현재 국면의 연산량을 늘립니다","Increase analysis effort for the current position using the maxplayouts value on the right"
"尚未开始分析","尚未开始分析","解析はまだ開始されていません","분석을 시작하지 않음","Analysis has not started"
"持续分析","持续分析","継続解析","지속 분석","Continuous analysis"
"分析当前局面/恢复界面刷新","分析当前局面/恢复界面刷新","現在局面を解析／画面更新を再開","현재 국면 분석/화면 갱신 재개","Analyze current position / resume display updates"
"暂停界面刷新","暂停界面刷新","画面更新を一時停止","화면 갱신 일시 정지","Pause display updates"
"停止当前分析","停止当前分析","現在の解析を停止","현재 분석 중지","Stop current analysis"
"点击曲线位置漫游到对应局面","点击曲线位置漫游到对应局面","グラフをクリックして対応局面へ移動","곡선 위치를 클릭하여 해당 국면으로 이동","Click the chart to navigate to the corresponding position"
"━ 黑方胜率","━ 黑方胜率","━ 黒勝率","━ 흑 승률","━ Black win rate"
"━ 黑方目差","━ 黑方目差","━ 黒の目数差","━ 흑 집 차이","━ Black score lead"
"分析当前播放条对应的整条棋局路径","分析当前播放条对应的整条棋局路径","現在の再生経路全体を解析","현재 재생 경로 전체 분석","Analyze the entire current playback path"
"分析整条播放路径","分析整条播放路径","再生経路全体を解析","전체 재생 경로 분석","Analyze full playback path"
"计算量无效","计算量无效","解析量が無効です","연산량이 올바르지 않음","Invalid analysis effort"
"请输入大于 0 的 maxplayouts。","请输入大于 0 的 maxplayouts。","0 より大きい maxplayouts を入力してください。","0보다 큰 maxplayouts를 입력하세요.","Enter a maxplayouts value greater than 0."
"位置","位置","位置","위치","Move"
"黑胜率","黑胜率","黒勝率","흑 승률","Black win rate"
"目差","目差","目数差","집 차이","Score lead"
"变化图","变化图","変化図","변화도","Variation"
"进入","进入","表示","들어가기","Enter"
"GNE0001","命令已经执行。","コマンドはすでに実行されています。","명령이 이미 실행되었습니다.","The command has already been executed."
"GNE0002","坐标超出棋盘范围。","座標が碁盤の範囲外です。","좌표가 바둑판 범위를 벗어났습니다.","The coordinate is outside the board."
"GNE0003","设置预置棋子失败。","初期配置に失敗しました。","돌 배치에 실패했습니다.","Failed to set up stones."
"GNE0004","命令无法撤销。","コマンドを元に戻せません。","명령을 실행 취소할 수 없습니다.","The command cannot be undone."
"GNE0005","恢复预置棋子失败。","初期配置の復元に失敗しました。","배치 복원에 실패했습니다.","Failed to restore setup stones."
"GNE0006","落子失败。","着手に失敗しました。","착수에 실패했습니다.","Failed to place the stone."
"GNE0007","悔棋失败。","一手戻す操作に失敗しました。","무르기에 실패했습니다.","Takeback failed."
"GNE0008","恢复被悔棋的棋子失败。","戻した手の復元に失敗しました。","무른 수 복원에 실패했습니다.","Failed to restore the taken-back move."
"GNE0009","该位置的落子已经存在。","その位置の着手はすでに存在します。","해당 위치의 착수가 이미 존재합니다.","A move at that position already exists."
"GNE0010","棋局漫游失败。","棋譜の移動に失敗しました。","기보 탐색에 실패했습니다.","Failed to navigate the game."
